date,domain_code,page_title,count_views,total_response_size
2016-01-01T20:00:00.000+01:00,ab,%CE%93%CE%BF%CF%85%CE%BB%CE%B9%CE%AD%CE%BB%CE%BC%CE%BF%CF%82_%CE%95%CE%84_%CF%84%CE%B7%CF%82_%CE%91%CE%BA%CE%BF%CF%85%CE%B9%CF%84%CE%B1%CE%BD%CE%AF%CE%B1%CF%82/el/%CE%93%CE%BF%CF%85%CE%BB%CE%B9%CE%AD%CE%BB%CE%BC%CE%BF%CF%82_%CE%95,1,6164
2016-01-01T20:00:00.000+01:00,ab,%CE%9B%CE%BF%CF%85%CE%B4%CE%BF%CE%B2%CE%AF%CE%BA%CE%BF%CF%82_%CE%91%CE%84_%CF%84%CE%BF%CF%85_%CE%9A%CE%BF%CE%BD%CF%84%CE%AD/el/%CE%9B%CE%BF%CF%85%CE%B4%CE%BF%CE%B2%CE%AF%CE%BA%CE%BF%CF%82_%CE%91,1,6132
2016-01-01T20:00:00.000+01:00,ab,%CE%A0%CE%AD%CF%84%CF%81%CE%BF%CF%82_%CE%93%CE%84_%CF%84%CE%B7%CF%82_%CE%A0%CE%BF%CF%81%CF%84%CE%BF%CE%B3%CE%B1%CE%BB%CE%AF%CE%B1%CF%82/el/%CE%A0%CE%AD%CF%84%CF%81%CE%BF%CF%82_%CE%93,1,6141
2016-01-01T20:00:00.000+01:00,ab,%D0%8F%D0%B0%D0%B7%D0%B7,2,24260
2016-01-01T20:00:00.000+01:00,ab,%D0%90%D0%B1%D0%B0%D0%BA%D0%BB%D0%B0%D1%9F%D1%8C%D0%B0%D0%BD,2,28400
2016-01-01T20:00:00.000+01:00,ab,%D0%90%D0%B1%D0%B8%D0%B1%D0%BB%D0%B8%D0%B0,1,17949
2016-01-01T20:00:00.000+01:00,ab,%D0%90%D0%B1%D1%8B%D0%BB%D0%B3%D0%B0%D1%80_%D0%B1%D1%8B%D0%B7%D1%88%D3%99%D0%B0,1,16091
2016-01-01T20:00:00.000+01:00,ab,%D0%90%D0%B2%D0%B8%D0%BA%D0%B8%D0%BF%D0%B5%D0%B4%D0%B8%D0%B0:%D0%9E%D0%BF%D0%B8%D1%81%D0%B0%D0%BD%D0%B8%D0%B5,1,13938
2016-01-01T20:00:00.000+01:00,ab,%D0%90%D0%B2%D0%B8%D0%BA%D0%B8%D0%BF%D0%B5%D0%B4%D0%B8%D0%B0_%D0%B0%D1%85%D1%86%D3%99%D0%B0%D0%B6%D3%99%D0%B0%D1%80%D0%B0:%D0%9F%D0%BE%D1%80%D1%82%D0%B0%D0%BB_%D1%81%D0%BE%D0%BE%D0%B1%D1%89%D0%B5%D1%81%D1%82%D0%B2%D0%B0,1,109339
2016-01-01T20:00:00.000+01:00,ab,%D0%90%D0%B4%D0%B0%D2%A7%D0%B0%D0%B7%D0%B0%D1%80%D1%8B,1,11365
2016-01-01T20:00:00.000+01:00,ab,%D0%90%D0%B7%D0%B5%D1%80%D0%B1%D0%B0%D0%B8%D1%9F%D1%8C%D0%B0%D0%BD,1,20812
2016-01-01T20:00:00.000+01:00,ab,%D0%90%D0%BA%D0%B0%D1%82%D0%B5%D0%B3%D0%BE%D1%80%D0%B8%D0%B0:%D0%90%D0%B3%D0%B5%D1%80%D0%BC%D0%B0%D0%BD_%D0%B1%D1%8B%D0%B7%D1%88%D3%99%D0%B0%D2%9B%D3%99%D0%B0,1,16255
2016-01-01T20:00:00.000+01:00,ab,%D0%90%D0%BA%D0%B0%D1%82%D0%B5%D0%B3%D0%BE%D1%80%D0%B8%D0%B0:%D0%90%D0%BB%D0%B0%D0%B4%D0%B0_%D0%A3%D0%B0%D2%A7%D1%81%D1%82%D3%99%D1%8B%D0%BB%D0%B0,2,87336
2016-01-01T20:00:00.000+01:00,ab,%D0%90%D0%BA%D0%B0%D1%82%D0%B5%D0%B3%D0%BE%D1%80%D0%B8%D0%B0:%D0%90%D2%9F%D3%99%D0%B0,1,30029
2016-01-01T20:00:00.000+01:00,ab,%D0%90%D0%BA%D0%B0%D1%82%D0%B5%D0%B3%D0%BE%D1%80%D0%B8%D0%B0:%D0%90%D2%A7%D1%81%D0%BD%D1%8B,2,121854
2016-01-01T20:00:00.000+01:00,ab,%D0%90%D0%BA%D0%B0%D1%82%D0%B5%D0%B3%D0%BE%D1%80%D0%B8%D0%B0:%D0%90%D2%A7%D1%81%D1%83%D0%B0_%D0%B1%D1%8B%D0%B7%D1%88%D3%99%D0%B0,1,8853
2016-01-01T20:00:00.000+01:00,ab,%D0%90%D0%BA%D0%B0%D1%82%D0%B5%D0%B3%D0%BE%D1%80%D0%B8%D0%B0:%D0%90%D2%A9%D0%BD%D1%83%D2%B5%D2%9F%D0%B0%D1%82%D3%99%D0%B8_%D2%9A%D0%B0%D1%80%D2%AD%D0%BB%D0%B8,1,30759
2016-01-01T20:00:00.000+01:00,ab,%D0%90%D0%BA%D0%B0%D1%82%D0%B5%D0%B3%D0%BE%D1%80%D0%B8%D0%B0:%D0%90%D2%AD%D1%8B%D1%80%D2%9B_%D0%B1%D1%8B%D0%B7%D1%88%D3%99%D0%B0,1,11243
2016-01-01T20:00:00.000+01:00,ab,%D0%90%D0%BA%D0%B0%D1%82%D0%B5%D0%B3%D0%BE%D1%80%D0%B8%D0%B0:%D0%93%D0%B0%D0%BB_%D0%B0%D1%80%D0%B0%D0%B8%D0%BE%D0%BD,1,28205
